序号,名称,介绍,招生简章
1,北京大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1.dhtml
2,中国人民大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-2.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2.dhtml
3,清华大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-3.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-3.dhtml
4,北京交通大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-4.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-4.dhtml
5,北京工业大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-5.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5.dhtml
6,北京航空航天大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-6.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6.dhtml
7,北京理工大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-7.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-7.dhtml
8,北京科技大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-8.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-8.dhtml
9,北方工业大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-9.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-9.dhtml
10,北京化工大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-10.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-10.dhtml
11,北京工商大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-11.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-11.dhtml
12,北京服装学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-12.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-12.dhtml
13,北京邮电大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-13.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-13.dhtml
14,北京印刷学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-14.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-14.dhtml
15,北京建筑大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-15.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-15.dhtml
16,北京石油化工学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-16.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-16.dhtml
17,北京电子科技学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-17.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-17.dhtml
18,中国农业大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-18.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18.dhtml
19,北京农学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-19.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-19.dhtml
20,北京林业大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-20.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-20.dhtml
21,北京协和医学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-21.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-21.dhtml
22,首都医科大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-22.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-22.dhtml
23,北京中医药大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-23.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-23.dhtml
24,北京师范大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-24.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-24.dhtml
25,首都师范大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-25.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-25.dhtml
26,首都体育学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-26.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-26.dhtml
27,北京外国语大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-27.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27.dhtml
28,北京第二外国语学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-28.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-28.dhtml
29,北京语言大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-29.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-29.dhtml
30,中国传媒大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-30.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-30.dhtml
31,中央财经大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-31.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-31.dhtml
32,对外经济贸易大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-32.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-32.dhtml
33,北京物资学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-33.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-33.dhtml
34,首都经济贸易大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-34.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-34.dhtml
35,中国消防救援学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-2347709988.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2347709988.dhtml
36,外交学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-35.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-35.dhtml
37,中国人民公安大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-36.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-36.dhtml
